teleplay_id,episodes,members,type,Super Power,Music,Demons,Yaoi,Sci-Fi,Seinen,Sports,Yuri,Shoujo,Comedy,Supernatural,Mystery,School,Police,Harem,Fantasy,Game,Vampire,Thriller,Josei,Shounen,Action,Shounen Ai,Psychological,Military,Romance,Magic,Shoujo Ai,Slice of Life,Mecha,Samurai,Adventure,Ecchi,Kids,Martial Arts,Parody,Drama,Historical,Space,Dementia,Cars,Restricted,Horror
9345.0,2.8021822052692276,-0.13839143795697786,4,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1793.0,-0.09039297436352346,0.6975733813711985,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
33909.0,-0.09039297436352346,-0.16117410193917558,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10585.0,-0.09039297436352346,-0.14188831196354773,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28993.0,-0.09039297436352346,-0.14845819646073966,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9074.0,0.9943227179987582,0.8851329871781286,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7290.0,-0.09039297436352346,-0.08911730422803857,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10824.0,-0.09039297436352346,0.013563632510331674,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4054.0,2.169431384724563,-0.14114655081063898,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3034.0,0.0,0.03782981879834693,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
